fps: 62, key: 17, rt: 8.0, dc: 38   
fps: 62, key: 17, rt: 8.0, dc: 36   
fps: 62, key: 17, rt: 8.0, dc: 36   
fps: 62, key: 17, rt: 8.0, dc: 34   
fps: 62, key: 17, rt: 8.0, dc: 36   
fps: 62, key: 17, rt: 8.0, dc: 37   
fps: 62, key: 160, rt: 8.0, dc: 36   
fps: 62, key: 160, rt: 8.0, dc: 36   
fps: 62, key: 160, rt: 8.0, dc: 30   
fps: 62, key: 160, rt: 8.0, dc: 34   
fps: 62, key: 30, rt: 8.0, dc: 36   
fps: 62, key: 30, rt: 8.0, dc: 37   
fps: 62, key: 30, rt: 8.0, dc: 35   
fps: 62, key: 30, rt: 8.0, dc: 37   
fps: 62, key: 30, rt: 8.0, dc: 36   
fps: 62, key: 30, rt: 8.0, dc: 36   
fps: 62, key: 30, rt: 8.0, dc: 36   
fps: 62, key: 30, rt: 8.0, dc: 34   
fps: 62, key: 30, rt: 8.0, dc: 34   
fps: 62, key: 30, rt: 8.0, dc: 32   
fps: 62, key: 145, rt: 8.0, dc: 32   
fps: 62, key: 145, rt: 8.0, dc: 34   
fps: 62, key: 145, rt: 8.0, dc: 36   
fps: 62, key: 145, rt: 8.0, dc: 36   
fps: 62, key: 145, rt: 8.0, dc: 36   
fps: 62, key: 145, rt: 8.0, dc: 36   
fps: 62, key: 30, rt: 8.0, dc: 36   
fps: 62, key: 30, rt: 8.0, dc: 37   
fps: 62, key: 30, rt: 8.0, dc: 37   
fps: 62, key: 30, rt: 8.0, dc: 37   
fps: 62, key: 30, rt: 8.0, dc: 37   
fps: 62, key: 30, rt: 8.0, dc: 37   
fps: 62, key: 30, rt: 8.0, dc: 36   
fps: 62, key: 77, rt: 8.0, dc: 34   
fps: 62, key: 77, rt: 8.0, dc: 30   
fps: 62, key: 77, rt: 8.0, dc: 30   
fps: 62, key: 77, rt: 8.0, dc: 32   
fps: 43, key: 77, rt: 15.3, dc: 34   
fps: 43, key: 77, rt: 15.3, dc: 32   
fps: 43, key: 77, rt: 15.3, dc: 36   
fps: 43, key: 77, rt: 15.3, dc: 34   
fps: 43, key: 77, rt: 15.3, dc: 36   
fps: 43, key: 77, rt: 15.3, dc: 35   
fps: 43, key: 77, rt: 15.3, dc: 31   
fps: 43, key: 77, rt: 15.3, dc: 31   
fps: 43, key: 77, rt: 15.3, dc: 29   
fps: 43, key: 205, rt: 15.3, dc: 25   
fps: 43, key: 205, rt: 15.3, dc: 25   
fps: 43, key: 205, rt: 15.3, dc: 24   
fps: 43, key: 205, rt: 15.3, dc: 24   
fps: 43, key: 205, rt: 15.3, dc: 23   
fps: 43, key: 205, rt: 15.3, dc: 23   
fps: 43, key: 205, rt: 15.3, dc: 24   
fps: 43, key: 205, rt: 15.3, dc: 24   
fps: 43, key: 205, rt: 15.3, dc: 25   
fps: 43, key: 205, rt: 15.3, dc: 26   
fps: 43, key: 205, rt: 15.3, dc: 28   
fps: 43, key: 205, rt: 15.3, dc: 27   
fps: 43, key: 205, rt: 15.3, dc: 26   
fps: 43, key: 205, rt: 15.3, dc: 25   
fps: 43, key: 205, rt: 15.3, dc: 23   
fps: 43, key: 205, rt: 15.3, dc: 26   
fps: 43, key: 205, rt: 15.3, dc: 27   
fps: 43, key: 205, rt: 15.3, dc: 25   
fps: 43, key: 205, rt: 15.3, dc: 25   
fps: 43, key: 205, rt: 15.3, dc: 27   
fps: 43, key: 205, rt: 15.3, dc: 21   
fps: 43, key: 205, rt: 15.3, dc: 25   
fps: 43, key: 205, rt: 15.3, dc: 26   
fps: 43, key: 205, rt: 15.3, dc: 24   
fps: 43, key: 205, rt: 15.3, dc: 24   
fps: 43, key: 205, rt: 15.3, dc: 24   
fps: 43, key: 205, rt: 15.3, dc: 26   
